"日付け","終値","始値","高値","安値","出来高","変化率 %"
"2023-10-19","4,283.28","4,279.73","4,319.77","4,268.43","","-1.41%"
"2023-10-18","4,344.74","4,365.15","4,386.57","4,324.82","","-0.27%"
"2023-10-17","4,356.51","4,405.80","4,406.39","4,315.23","","0.79%"
"2023-10-16","4,322.20","4,316.94","4,334.37","4,285.46","","-1.11%"
"2023-10-13","4,370.85","4,392.46","4,421.32","4,355.14","","-1.85%"
"2023-10-12","4,453.13","4,379.55","4,453.13","4,378.23","","2.74%"
"2023-10-11","4,334.46","4,344.73","4,374.54","4,321.42","","0.80%"
"2023-10-10","4,299.87","4,265.43","4,321.56","4,252.36","","2.43%"
"2023-10-06","4,198.01","4,178.76","4,224.84","4,137.69","","-0.09%"
"2023-10-05","4,201.73","4,126.91","4,207.46","4,098.32","","3.64%"
"2023-10-04","4,054.22","4,189.72","4,189.72","4,050.66","","-4.93%"
"2023-10-03","4,264.35","4,376.27","4,382.89","4,253.07","","-3.15%"
"2023-10-02","4,403.21","4,449.72","4,500.21","4,401.67","","0.21%"
"2023-09-29","4,394.10","4,488.66","4,488.66","4,386.11","","-1.70%"
"2023-09-28","4,469.97","4,494.39","4,520.97","4,427.80","","-1.21%"
"2023-09-27","4,524.56","4,452.17","4,524.56","4,420.03","","0.67%"
"2023-09-26","4,494.27","4,547.14","4,547.78","4,485.26","","-1.14%"
"2023-09-25","4,546.16","4,565.47","4,568.52","4,526.64","","-0.33%"
"2023-09-22","4,561.21","4,505.02","4,594.18","4,481.17","","-0.08%"
"2023-09-21","4,564.82","4,612.97","4,643.00","4,564.02","","-0.81%"
"2023-09-20","4,602.24","4,731.05","4,731.05","4,602.24","","-2.10%"
"2023-09-19","4,700.92","4,587.71","4,704.15","4,570.81","","2.06%"
"2023-09-15","4,606.16","4,565.14","4,635.07","4,565.14","","2.23%"
"2023-09-14","4,505.85","4,440.05","4,516.69","4,421.09","","1.86%"
"2023-09-13","4,423.49","4,390.44","4,433.65","4,379.25","","0.87%"
"2023-09-12","4,385.48","4,346.30","4,389.04","4,333.21","","2.04%"
"2023-09-11","4,297.85","4,326.22","4,327.61","4,284.81","","-0.26%"
"2023-09-08","4,308.86","4,349.17","4,368.43","4,305.93","","-1.07%"
"2023-09-07","4,355.45","4,386.67","4,400.90","4,351.32","","-0.62%"
"2023-09-06","4,382.59","4,330.95","4,405.89","4,330.95","","2.00%"
"2023-09-05","4,296.67","4,303.57","4,307.28","4,251.40","","-0.10%"
"2023-09-04","4,300.87","4,230.08","4,300.87","4,230.08","","2.78%"
"2023-09-01","4,184.46","4,147.58","4,194.73","4,147.58","","0.22%"
"2023-08-31","4,175.34","4,114.83","4,190.85","4,114.83","","1.89%"
"2023-08-30","4,097.97","4,085.93","4,107.62","4,080.85","","0.78%"
"2023-08-29","4,066.08","4,089.16","4,091.22","4,050.73","","-0.20%"
"2023-08-28","4,074.38","4,050.28","4,078.77","4,047.99","","2.01%"
"2023-08-25","3,993.99","3,977.75","4,006.64","3,977.75","","-0.38%"
"2023-08-24","4,009.23","4,016.99","4,017.80","3,992.50","","-0.36%"
"2023-08-23","4,023.91","3,979.43","4,024.85","3,979.43","","0.37%"
"2023-08-22","4,009.19","3,969.97","4,011.42","3,967.83","","2.05%"
"2023-08-21","3,928.55","3,934.11","3,958.28","3,923.42","","0.15%"
"2023-08-18","3,922.77","3,920.27","3,948.47","3,904.03","","-0.87%"
"2023-08-17","3,957.12","3,949.63","3,960.49","3,888.36","","0.25%"
"2023-08-16","3,947.29","3,986.29","3,998.10","3,945.87","","-1.77%"
"2023-08-15","4,018.54","4,043.34","4,047.33","4,014.79","","0.33%"
"2023-08-14","4,005.39","4,074.56","4,096.90","3,995.01","","-1.46%"
"2023-08-10","4,064.61","3,997.37","4,067.19","3,997.37","","1.89%"
"2023-08-09","3,989.06","4,032.91","4,032.91","3,977.19","","-1.24%"
"2023-08-08","4,039.32","4,078.24","4,088.42","4,035.09","","-0.09%"
"2023-08-07","4,042.84","4,011.16","4,055.60","4,006.38","","0.01%"
"2023-08-04","4,042.59","4,006.94","4,064.11","4,002.66","","0.67%"
"2023-08-03","4,015.79","4,079.42","4,088.19","4,008.15","","-2.77%"
"2023-08-02","4,130.21","4,084.16","4,205.76","4,063.98","","0.28%"
"2023-08-01","4,118.61","4,048.42","4,131.50","4,040.50","","2.20%"
"2023-07-31","4,029.84","3,986.61","4,036.70","3,981.61","","2.83%"
"2023-07-28","3,919.06","3,904.38","3,955.25","3,845.90","","-1.02%"
"2023-07-27","3,959.29","3,958.67","3,971.06","3,941.06","","-0.27%"
"2023-07-26","3,970.06","3,971.42","3,976.32","3,936.95","","-1.12%"
"2023-07-25","4,015.11","3,965.48","4,015.11","3,958.32","","1.10%"
"2023-07-24","3,971.28","3,959.39","3,985.51","3,946.94","","1.65%"
"2023-07-21","3,906.68","3,898.89","3,924.25","3,885.02","","0.19%"
"2023-07-20","3,899.12","3,911.14","3,935.65","3,891.00","","-0.24%"
"2023-07-19","3,908.52","3,862.83","3,908.52","3,858.20","","2.51%"
"2023-07-18","3,812.98","3,773.01","3,815.74","3,767.75","","1.13%"
"2023-07-14","3,770.54","3,798.57","3,798.57","3,738.26","","-0.14%"
"2023-07-13","3,775.68","3,762.88","3,794.82","3,733.29","","0.26%"
"2023-07-12","3,766.06","3,795.33","3,808.92","3,751.15","","-0.54%"
"2023-07-11","3,786.48","3,847.38","3,852.64","3,777.02","","-1.51%"
"2023-07-10","3,844.48","3,881.71","3,888.74","3,829.79","","-1.47%"
"2023-07-07","3,901.99","3,924.34","3,941.64","3,886.41","","-1.37%"
"2023-07-06","3,956.19","3,983.23","4,006.40","3,941.61","","-0.62%"
"2023-07-05","3,980.99","3,951.89","3,980.99","3,939.21","","0.43%"
"2023-07-04","3,964.07","3,970.24","3,981.26","3,948.64","","0.03%"
"2023-07-03","3,962.96","3,943.22","3,969.90","3,939.08","","1.18%"
"2023-06-30","3,916.56","3,916.20","3,924.31","3,882.48","","0.32%"
"2023-06-29","3,904.19","3,912.97","3,924.80","3,882.40","","0.20%"
"2023-06-28","3,896.58","3,854.89","3,896.58","3,842.21","","2.76%"
"2023-06-27","3,791.84","3,804.74","3,819.73","3,767.79","","0.28%"
"2023-06-26","3,781.12","3,770.28","3,793.24","3,744.04","","0.18%"
"2023-06-23","3,774.16","3,867.88","3,873.79","3,740.03","","-1.97%"
"2023-06-22","3,849.91","3,848.47","3,880.14","3,839.03","","0.72%"
"2023-06-21","3,822.42","3,785.08","3,832.78","3,778.05","","-0.03%"
"2023-06-20","3,823.69","3,822.70","3,843.29","3,795.97","","-0.46%"
"2023-06-19","3,841.21","3,910.66","3,910.66","3,823.93","","-1.60%"
"2023-06-16","3,903.85","3,931.82","3,931.82","3,854.82","","-0.45%"
"2023-06-15","3,921.37","3,930.47","3,953.58","3,891.69","","0.10%"
"2023-06-14","3,917.62","3,825.87","3,960.80","3,825.03","","4.28%"
"2023-06-13","3,756.66","3,688.20","3,777.62","3,688.20","","3.40%"
"2023-06-12","3,633.20","3,632.05","3,641.80","3,612.52","","0.70%"
"2023-06-09","3,607.91","3,579.34","3,615.65","3,568.80","","1.64%"
"2023-06-08","3,549.86","3,589.80","3,600.36","3,532.88","","-0.40%"
"2023-06-07","3,564.29","3,634.68","3,651.73","3,564.29","","-1.10%"
"2023-06-06","3,604.05","3,556.11","3,604.05","3,535.03","","0.97%"
"2023-06-05","3,569.60","3,562.15","3,569.60","3,535.48","","2.36%"
"2023-06-02","3,487.46","3,429.52","3,487.49","3,419.07","","2.66%"
"2023-06-01","3,396.98","3,400.17","3,425.04","3,382.40","","0.64%"
"2023-05-31","3,375.50","3,397.29","3,403.26","3,357.28","","-1.54%"
"2023-05-30","3,428.40","3,398.34","3,433.12","3,376.91","","0.68%"
"2023-05-29","3,405.12","3,445.35","3,458.50","3,400.47","","0.24%"
"2023-05-26","3,396.96","3,421.88","3,432.02","3,394.04","","-0.19%"
"2023-05-25","3,403.48","3,411.48","3,418.96","3,401.11","","-0.40%"
"2023-05-24","3,417.10","3,372.50","3,422.76","3,368.75","","2.28%"
"2023-05-23","3,340.79","3,456.37","3,459.93","3,340.79","","-2.18%"
"2023-05-22","3,415.25","3,372.22","3,415.25","3,372.22","","0.51%"
"2023-05-19","3,398.00","3,417.02","3,424.64","3,385.20","","0.30%"
"2023-05-18","3,387.78","3,376.30","3,392.10","3,368.21","","1.53%"
"2023-05-17","3,336.69","3,333.51","3,357.06","3,330.49","","0.04%"
"2023-05-16","3,335.52","3,345.92","3,354.66","3,323.43","","-0.30%"
"2023-05-15","3,345.45","3,359.67","3,369.45","3,332.79","","-0.27%"
"2023-05-12","3,354.57","3,316.53","3,359.33","3,306.09","","1.85%"
"2023-05-11","3,293.78","3,329.83","3,334.43","3,271.03","","-0.88%"
"2023-05-10","3,322.96","3,319.69","3,358.06","3,288.62","","-0.03%"
"2023-05-09","3,323.84","3,248.99","3,328.99","3,248.99","","2.38%"
"2023-05-08","3,246.45","3,242.81","3,258.85","3,232.32","","-0.45%"
"2023-05-02","3,261.26","3,270.06","3,271.38","3,241.92","","-0.49%"
"2023-05-01","3,277.31","3,277.55","3,279.82","3,262.98","","1.08%"
"2023-04-28","3,242.17","3,206.16","3,242.17","3,201.07","","2.19%"
"2023-04-27","3,172.67","3,131.90","3,174.18","3,127.97","","1.46%"
"2023-04-26","3,127.04","3,139.34","3,143.09","3,119.41","","-0.86%"
"2023-04-25","3,154.20","3,156.52","3,170.87","3,152.99","","0.11%"
"2023-04-24","3,150.77","3,153.60","3,161.45","3,147.34","","0.26%"
"2023-04-21","3,142.63","3,127.28","3,156.86","3,127.28","","-0.91%"
"2023-04-20","3,171.44","3,147.92","3,177.84","3,141.91","","-0.21%"
"2023-04-19","3,178.21","3,189.84","3,192.86","3,166.85","","-0.39%"
"2023-04-18","3,190.78","3,199.99","3,204.23","3,179.10","","0.27%"
"2023-04-17","3,182.23","3,171.74","3,188.26","3,167.31","","1.25%"
"2023-04-14","3,142.81","3,159.71","3,163.67","3,140.49","","-0.48%"
"2023-04-13","3,157.88","3,155.74","3,159.88","3,139.01","","-0.48%"
"2023-04-12","3,173.06","3,184.11","3,186.51","3,165.64","","0.24%"
"2023-04-11","3,165.58","3,170.61","3,177.51","3,151.63","","0.62%"
"2023-04-10","3,146.04","3,155.89","3,158.95","3,134.09","","0.49%"
"2023-04-07","3,130.75","3,133.09","3,147.50","3,126.20","","0.13%"
"2023-04-06","3,126.64","3,153.48","3,157.29","3,121.98","","-1.86%"
"2023-04-05","3,185.86","3,223.99","3,225.36","3,182.73","","-2.49%"
"2023-04-04","3,267.28","3,246.16","3,267.57","3,232.17","","0.36%"
"2023-04-03","3,255.48","3,247.74","3,255.48","3,230.53","","0.97%"
"2023-03-31","3,224.10","3,203.03","3,243.76","3,202.87","","1.70%"
"2023-03-30","3,170.18","3,164.24","3,176.90","3,149.83","","-0.35%"
"2023-03-29","3,181.27","3,124.96","3,181.27","3,114.69","","2.37%"
"2023-03-28","3,107.59","3,116.50","3,124.82","3,094.61","","0.67%"
"2023-03-27","3,087.03","3,089.52","3,095.88","3,068.59","","0.45%"
"2023-03-24","3,073.30","3,063.28","3,078.49","3,056.13","","-0.27%"
"2023-03-23","3,081.75","3,064.28","3,088.57","3,052.87","","-0.24%"
"2023-03-22","3,089.02","3,079.07","3,095.73","3,061.99","","2.24%"
"2023-03-20","3,021.42","3,029.93","3,044.55","3,017.46","","-1.47%"
"2023-03-17","3,066.40","3,076.60","3,084.42","3,046.49","","0.05%"
"2023-03-16","3,064.98","3,047.45","3,068.73","3,017.08","","-1.53%"
"2023-03-15","3,112.50","3,135.49","3,141.75","3,100.03","","0.28%"
"2023-03-14","3,103.69","3,149.74","3,149.80","3,066.02","","-3.41%"
"2023-03-13","3,213.42","3,244.03","3,248.35","3,194.72","","-2.34%"
"2023-03-10","3,290.41","3,304.62","3,319.76","3,279.89","","-1.50%"
"2023-03-09","3,340.57","3,336.58","3,354.33","3,335.10","","0.67%"
"2023-03-08","3,318.41","3,309.46","3,325.90","3,306.08","","0.03%"
"2023-03-07","3,317.52","3,300.56","3,318.08","3,286.49","","0.36%"
"2023-03-06","3,305.51","3,291.34","3,318.15","3,283.82","","1.11%"
"2023-03-03","3,269.18","3,236.77","3,274.73","3,233.23","","1.17%"
"2023-03-02","3,231.47","3,241.60","3,258.52","3,226.87","","-0.18%"
"2023-03-01","3,237.34","3,218.35","3,244.90","3,217.35","","0.69%"
"2023-02-28","3,215.09","3,220.24","3,238.65","3,207.29","","0.13%"
"2023-02-27","3,211.01","3,210.13","3,224.90","3,201.73","","0.28%"
"2023-02-24","3,202.05","3,192.98","3,216.17","3,192.62","","0.23%"
"2023-02-22","3,194.60","3,220.42","3,222.33","3,180.83","","-1.51%"
"2023-02-21","3,243.53","3,235.56","3,251.86","3,232.06","","0.18%"
"2023-02-20","3,237.77","3,254.18","3,254.45","3,234.65","","-0.08%"
"2023-02-17","3,240.46","3,205.20","3,241.79","3,205.20","","0.21%"
"2023-02-16","3,233.55","3,200.41","3,239.34","3,199.86","","1.80%"
"2023-02-15","3,176.34","3,202.90","3,203.56","3,169.98","","-0.11%"
"2023-02-14","3,179.88","3,200.46","3,201.77","3,169.89","","0.28%"
"2023-02-13","3,171.15","3,151.44","3,173.98","3,137.48","","0.56%"
"2023-02-10","3,153.59","3,161.66","3,168.65","3,142.24","","-0.78%"
"2023-02-09","3,178.27","3,175.43","3,196.09","3,155.58","","-0.07%"
"2023-02-08","3,180.56","3,195.48","3,200.86","3,178.79","","-0.29%"
"2023-02-07","3,189.83","3,219.80","3,228.02","3,188.21","","-0.44%"
"2023-02-06","3,203.98","3,200.08","3,233.75","3,199.62","","1.35%"
"2023-02-03","3,161.27","3,151.01","3,164.40","3,147.14","","0.38%"
"2023-02-02","3,149.27","3,181.45","3,183.84","3,135.76","","-0.98%"
"2023-02-01","3,180.36","3,194.17","3,200.01","3,179.79","","0.49%"
"2023-01-31","3,164.80","3,177.83","3,185.65","3,160.87","","0.17%"
"2023-01-30","3,159.47","3,163.53","3,175.77","3,150.14","","0.00%"
"2023-01-27","3,159.60","3,148.93","3,160.16","3,134.96","","0.59%"
"2023-01-26","3,141.21","3,146.89","3,155.63","3,133.83","","-0.21%"
"2023-01-25","3,147.82","3,124.05","3,150.68","3,124.05","","0.56%"
"2023-01-24","3,130.15","3,126.49","3,132.28","3,111.87","","1.34%"
"2023-01-23","3,088.62","3,102.14","3,102.91","3,079.90","","0.70%"
"2023-01-20","3,067.26","3,035.90","3,067.26","3,035.36","","0.83%"
"2023-01-19","3,041.99","3,056.12","3,056.24","3,030.76","","-2.42%"
"2023-01-18","3,117.33","3,043.89","3,133.74","3,028.06","","2.24%"
"2023-01-17","3,048.92","3,005.48","3,057.95","3,002.00","","2.47%"
"2023-01-16","2,975.32","2,951.07","2,980.61","2,947.56","","-0.53%"
"2023-01-13","2,991.21","3,016.94","3,031.68","2,985.89","","-1.97%"
"2023-01-12","3,051.34","3,054.07","3,068.91","3,039.62","","0.39%"
"2023-01-11","3,039.38","3,023.29","3,045.26","3,020.03","","0.55%"
"2023-01-10","3,022.63","3,037.75","3,052.75","3,011.93","","0.39%"
"2023-01-06","3,010.78","2,980.22","3,020.39","2,977.31","","1.21%"
"2023-01-05","2,974.65","2,979.79","2,991.88","2,954.04","","0.50%"
"2023-01-04","2,959.71","2,963.72","2,973.59","2,950.44","","-1.09%"
"2022-12-30","2,992.21","3,011.11","3,018.45","2,991.86","","-0.18%"
"2022-12-29","2,997.56","2,979.12","2,997.56","2,973.59","","-0.40%"
"2022-12-28","3,009.68","3,003.98","3,009.84","2,990.34","","0.12%"
"2022-12-27","3,006.22","3,049.21","3,051.33","3,001.81","","-0.52%"
"2022-12-26","3,022.05","3,024.62","3,040.91","3,020.99","","0.56%"
"2022-12-23","3,005.24","2,997.31","3,009.00","2,985.93","","-1.25%"
"2022-12-22","3,043.14","3,035.82","3,063.71","3,034.04","","1.60%"
"2022-12-21","2,995.31","3,040.79","3,040.79","2,975.87","","-2.36%"
"2022-12-20","3,067.77","3,174.89","3,178.34","3,059.13","","-3.24%"
"2022-12-19","3,170.45","3,185.04","3,197.14","3,170.45","","-1.53%"
"2022-12-16","3,219.82","3,223.26","3,249.93","3,214.19","","-1.49%"
"2022-12-15","3,268.46","3,249.82","3,271.73","3,249.82","","0.06%"
"2022-12-14","3,266.63","3,236.68","3,268.16","3,236.68","","0.37%"
"2022-12-13","3,254.62","3,283.99","3,287.57","3,254.62","","0.34%"
"2022-12-12","3,243.46","3,232.79","3,252.44","3,232.79","","0.36%"
"2022-12-09","3,231.77","3,234.05","3,253.93","3,231.77","","0.50%"
"2022-12-08","3,215.83","3,202.25","3,220.49","3,190.49","","-0.50%"
"2022-12-07","3,231.85","3,208.42","3,248.35","3,208.04","","0.11%"
"2022-12-06","3,228.38","3,217.58","3,238.40","3,205.91","","0.19%"
"2022-12-05","3,222.27","3,259.19","3,259.19","3,214.35","","-1.12%"
"2022-12-02","3,258.93","3,287.09","3,287.09","3,233.92","","-1.82%"
"2022-12-01","3,319.49","3,350.36","3,350.36","3,318.28","","-0.57%"
"2022-11-30","3,338.58","3,326.87","3,349.20","3,311.28","","0.42%"
"2022-11-29","3,324.70","3,358.76","3,358.76","3,323.17","","-1.30%"
"2022-11-28","3,368.42","3,410.74","3,413.81","3,363.78","","-0.77%"
"2022-11-25","3,394.67","3,390.42","3,400.28","3,384.86","","0.21%"
"2022-11-24","3,387.51","3,406.02","3,408.57","3,384.13","","-0.08%"
"2022-11-22","3,390.25","3,367.31","3,409.86","3,362.61","","1.72%"
"2022-11-21","3,332.77","3,342.02","3,342.02","3,320.57","","0.33%"
"2022-11-18","3,321.93","3,331.63","3,343.16","3,318.17","","0.52%"
"2022-11-17","3,304.63","3,310.42","3,328.75","3,304.37","","-0.32%"
"2022-11-16","3,315.29","3,322.85","3,322.85","3,292.15","","-0.54%"
"2022-11-15","3,333.42","3,307.57","3,338.81","3,307.57","","0.72%"
"2022-11-14","3,309.61","3,341.72","3,341.72","3,309.61","","-1.02%"
"2022-11-11","3,343.81","3,332.89","3,348.64","3,326.08","","1.99%"
"2022-11-10","3,278.60","3,296.49","3,299.49","3,263.21","","-1.71%"
"2022-11-09","3,335.62","3,350.28","3,359.85","3,330.08","","-0.56%"
"2022-11-08","3,354.27","3,326.84","3,364.78","3,324.64","","0.98%"
"2022-11-07","3,321.74","3,332.67","3,333.11","3,307.08","","0.59%"
"2022-11-04","3,302.11","3,310.39","3,315.63","3,280.33","","-1.00%"
"2022-11-02","3,335.51","3,293.84","3,335.51","3,293.84","","0.57%"
"2022-11-01","3,316.61","3,346.61","3,364.92","3,301.96","","-0.80%"
"2022-10-31","3,343.50","3,321.61","3,343.50","3,312.98","","1.85%"
"2022-10-28","3,282.61","3,250.74","3,301.46","3,248.92","","0.87%"
"2022-10-27","3,254.39","3,285.81","3,285.81","3,246.51","","-1.11%"
"2022-10-26","3,290.88","3,285.88","3,306.52","3,285.88","","0.48%"
"2022-10-25","3,275.20","3,247.51","3,279.23","3,245.61","","1.46%"
"2022-10-24","3,228.22","3,243.00","3,257.31","3,226.26","","0.52%"
"2022-10-21","3,211.44","3,230.82","3,230.82","3,197.28","","-0.84%"
"2022-10-20","3,238.51","3,235.06","3,246.39","3,228.66","","-0.32%"
"2022-10-19","3,248.84","3,246.94","3,267.47","3,244.82","","-0.03%"
"2022-10-18","3,249.70","3,277.17","3,279.08","3,228.56","","0.39%"
"2022-10-17","3,236.96","3,221.86","3,240.25","3,217.02","","-0.56%"
"2022-10-14","3,255.04","3,242.46","3,273.38","3,222.89","","1.64%"
"2022-10-13","3,202.65","3,211.10","3,222.60","3,200.21","","0.09%"
"2022-10-12","3,199.73","3,187.82","3,217.31","3,186.51","","0.22%"
"2022-10-11","3,192.80","3,213.49","3,229.53","3,185.63","","-1.73%"
"2022-10-07","3,249.01","3,223.26","3,269.11","3,213.75","","-0.66%"
"2022-10-06","3,270.54","3,274.19","3,291.47","3,269.52","","0.26%"
"2022-10-05","3,262.15","3,294.50","3,294.50","3,252.73","","0.14%"
"2022-10-04","3,257.58","3,225.88","3,257.84","3,215.09","","2.77%"
"2022-10-03","3,169.70","3,082.95","3,173.85","3,081.37","","3.11%"
"2022-09-30","3,074.20","3,168.54","3,174.65","3,065.39","","-4.41%"
"2022-09-29","3,215.89","3,217.79","3,237.55","3,182.22","","0.07%"
"2022-09-28","3,213.49","3,238.98","3,243.72","3,174.82","","-1.58%"
"2022-09-27","3,265.23","3,263.14","3,294.41","3,260.43","","0.96%"
"2022-09-26","3,234.34","3,287.95","3,294.85","3,232.35","","-3.71%"
"2022-09-22","3,358.85","3,324.18","3,359.12","3,316.52","","0.83%"
"2022-09-21","3,331.24","3,371.52","3,371.52","3,331.24","","-2.28%"
"2022-09-20","3,408.85","3,397.02","3,436.71","3,394.09","","0.93%"
"2022-09-16","3,377.33","3,380.57","3,392.27","3,365.65","","-0.71%"
"2022-09-15","3,401.33","3,392.28","3,411.15","3,389.42","","0.15%"
"2022-09-14","3,396.18","3,410.76","3,424.21","3,393.75","","-1.61%"
"2022-09-13","3,451.75","3,458.13","3,459.68","3,422.65","","-0.55%"
"2022-09-12","3,470.86","3,478.57","3,490.08","3,463.67","","0.16%"
"2022-09-09","3,465.40","3,464.79","3,483.91","3,457.78","","-0.04%"
"2022-09-08","3,466.87","3,427.58","3,466.87","3,418.41","","1.95%"
"2022-09-07","3,400.43","3,398.77","3,404.08","3,379.85","","0.23%"
"2022-09-06","3,392.67","3,373.42","3,397.12","3,359.61","","0.33%"
"2022-09-05","3,381.53","3,394.41","3,394.41","3,370.12","","-0.91%"
"2022-09-02","3,412.47","3,417.40","3,417.40","3,401.83","","-0.13%"
"2022-09-01","3,417.00","3,434.18","3,435.78","3,406.86","","-1.92%"
"2022-08-31","3,483.89","3,452.37","3,487.14","3,452.37","","0.28%"
"2022-08-30","3,474.18","3,470.11","3,483.45","3,456.23","","0.99%"
"2022-08-29","3,440.12","3,406.88","3,444.17","3,402.75","","-0.81%"
"2022-08-26","3,468.34","3,488.46","3,490.54","3,465.74","","0.02%"
"2022-08-25","3,467.50","3,468.42","3,474.24","3,459.77","","0.10%"
"2022-08-24","3,464.19","3,467.89","3,485.34","3,460.20","","0.11%"
"2022-08-23","3,460.29","3,479.62","3,481.28","3,451.64","","-1.82%"
"2022-08-22","3,524.52","3,487.63","3,529.39","3,486.42","","0.02%"
"2022-08-19","3,523.97","3,519.47","3,531.67","3,513.73","","0.75%"
"2022-08-18","3,497.78","3,516.25","3,519.19","3,492.07","","-1.50%"
"2022-08-17","3,551.03","3,497.22","3,551.03","3,496.96","","2.42%"
"2022-08-16","3,467.12","3,463.99","3,472.54","3,447.76","","-0.60%"
"2022-08-15","3,487.89","3,468.97","3,489.60","3,463.15","","0.31%"
"2022-08-12","3,477.26","3,434.43","3,477.26","3,424.69","","2.33%"
"2022-08-10","3,398.12","3,377.74","3,409.23","3,374.46","","0.76%"
"2022-08-09","3,372.35","3,401.37","3,403.05","3,359.41","","-1.04%"
"2022-08-08","3,407.82","3,365.62","3,407.82","3,359.68","","0.84%"
"2022-08-05","3,379.36","3,326.69","3,384.88","3,324.42","","0.82%"
"2022-08-04","3,351.96","3,425.62","3,429.83","3,326.03","","-1.04%"
"2022-08-03","3,387.04","3,375.06","3,403.09","3,373.87","","-0.11%"
"2022-08-02","3,390.74","3,417.78","3,438.70","3,383.45","","-2.12%"
"2022-08-01","3,464.25","3,391.26","3,469.85","3,387.71","","3.07%"
"2022-07-29","3,361.02","3,412.02","3,415.09","3,348.64","","-0.78%"
"2022-07-28","3,387.52","3,425.39","3,432.91","3,384.94","","-1.03%"
"2022-07-27","3,422.63","3,412.20","3,429.05","3,390.48","","-0.43%"
"2022-07-26","3,437.42","3,454.62","3,458.54","3,428.25","","0.22%"
"2022-07-25","3,429.96","3,434.75","3,472.05","3,425.04","","-1.26%"
"2022-07-22","3,473.80","3,467.09","3,477.81","3,458.67","","-0.09%"
"2022-07-21","3,476.76","3,460.90","3,484.91","3,447.77","","0.08%"
"2022-07-20","3,474.10","3,466.14","3,474.10","3,450.32","","1.53%"
"2022-07-19","3,421.74","3,413.95","3,421.74","3,399.18","","1.31%"
"2022-07-15","3,377.61","3,359.89","3,379.73","3,337.37","","0.72%"
"2022-07-14","3,353.34","3,301.29","3,362.65","3,301.29","","0.35%"
"2022-07-13","3,341.78","3,343.24","3,364.05","3,334.31","","0.86%"
"2022-07-12","3,313.36","3,377.00","3,377.00","3,307.46","","-1.95%"
"2022-07-11","3,379.09","3,372.08","3,398.37","3,368.59","","1.80%"
"2022-07-08","3,319.26","3,325.62","3,375.87","3,317.31","","0.61%"
"2022-07-07","3,299.11","3,276.01","3,305.41","3,243.56","","1.97%"
"2022-07-06","3,235.52","3,287.21","3,287.21","3,215.70","","-2.50%"
"2022-07-05","3,318.65","3,335.07","3,345.02","3,311.93","","0.16%"
"2022-07-04","3,313.36","3,297.98","3,317.58","3,286.59","","1.71%"
