日付け,終値,始値,高値,安値,出来高,変化率 %
2023-10-19,260.17,261.39,261.98,258.38,,-1.23%
2023-10-18,263.42,261.6,264.88,260.38,,1.64%
2023-10-17,259.17,261.29,261.55,256.79,,0.43%
2023-10-16,258.05,257.15,259.2,255.18,,-0.45%
2023-10-13,259.21,264.33,264.63,259.02,,-2.03%
2023-10-12,264.58,264.27,265.41,263.48,,0.62%
2023-10-11,262.95,263.76,264.65,261.81,,-0.57%
2023-10-10,264.46,261.35,264.94,260.41,,2.33%
2023-10-06,258.45,258.52,260.33,255.11,,-0.45%
2023-10-05,259.63,253.52,259.74,251.53,,3.65%
2023-10-04,250.49,257.17,258.05,250.09,,-4.26%
2023-10-03,261.64,263.66,264.39,260.72,,-1.27%
2023-10-02,265.0,263.69,269.08,263.63,,1.25%
2023-09-29,261.73,265.64,265.64,261.23,,-2.31%
2023-09-28,267.92,269.31,270.7,266.19,,-1.47%
2023-09-27,271.92,270.19,271.92,268.86,,-0.08%
2023-09-26,272.15,271.03,273.61,269.0,,1.13%
2023-09-25,269.12,272.81,273.31,269.0,,-2.62%
2023-09-22,276.36,272.04,277.71,269.53,,1.02%
2023-09-21,273.56,274.96,278.03,273.05,,1.03%
2023-09-20,270.76,274.67,275.67,270.04,,-1.16%
2023-09-19,273.95,269.58,273.95,269.58,,2.08%
2023-09-15,268.37,273.39,277.23,266.3,,-1.19%
2023-09-14,271.6,272.38,273.21,270.11,,0.61%
2023-09-13,269.94,267.39,272.21,266.51,,1.50%
2023-09-12,265.94,265.12,265.99,261.75,,0.80%
2023-09-11,263.83,256.58,263.83,256.45,,4.69%
2023-09-08,252.01,253.01,255.09,251.58,,-1.12%
2023-09-07,254.86,256.03,256.56,254.4,,-0.25%
2023-09-06,255.5,253.6,256.71,253.23,,1.33%
2023-09-05,252.15,254.95,255.3,249.32,,0.01%
2023-09-04,252.13,248.51,252.13,248.36,,2.23%
2023-09-01,246.62,243.7,247.87,243.34,,1.54%
2023-08-31,242.89,241.71,243.86,241.67,,-0.19%
2023-08-30,243.36,241.09,243.45,241.09,,1.41%
2023-08-29,239.98,241.22,242.51,238.9,,-0.13%
2023-08-28,240.3,238.26,240.65,238.26,,1.40%
2023-08-25,236.99,235.6,237.73,235.39,,-0.31%
2023-08-24,237.73,235.63,237.97,235.61,,0.71%
2023-08-23,236.06,233.29,236.15,232.8,,0.32%
2023-08-22,235.31,230.99,235.31,230.52,,2.92%
2023-08-21,228.63,228.87,230.2,228.0,,-0.27%
2023-08-18,229.26,229.33,230.0,228.19,,-0.58%
2023-08-17,230.6,226.76,230.6,224.6,,1.17%
2023-08-16,227.94,229.0,229.73,227.75,,-2.29%
2023-08-15,233.29,233.58,233.81,231.98,,0.47%
2023-08-14,232.19,234.94,235.38,231.6,,-0.65%
2023-08-10,233.72,230.68,234.38,229.78,,1.42%
2023-08-09,230.45,234.19,234.19,228.95,,-2.24%
2023-08-08,235.72,237.49,237.87,235.6,,-0.16%
2023-08-07,236.09,237.12,237.12,235.58,,-0.62%
2023-08-04,237.57,235.56,237.57,234.64,,1.64%
2023-08-03,233.73,236.1,237.02,233.1,,-0.58%
2023-08-02,235.1,236.59,238.82,234.89,,-1.17%
2023-08-01,237.89,238.9,239.75,237.19,,-1.23%
2023-07-31,240.86,241.24,243.8,237.7,,1.33%
2023-07-28,237.71,230.98,237.71,227.17,,4.60%
2023-07-27,227.25,225.23,227.62,224.72,,0.92%
2023-07-26,225.17,225.35,225.59,223.89,,-0.14%
2023-07-25,225.48,224.22,225.61,223.52,,1.22%
2023-07-24,222.77,221.72,224.18,220.09,,-1.32%
2023-07-21,225.76,228.1,228.1,224.77,,-0.34%
2023-07-20,226.53,228.43,229.34,226.33,,-0.68%
2023-07-19,228.07,229.69,230.02,226.67,,0.37%
2023-07-18,227.23,223.0,228.86,223.0,,2.18%
2023-07-14,222.39,224.03,224.03,220.77,,-0.31%
2023-07-13,223.09,224.7,224.78,221.74,,-0.46%
2023-07-12,224.12,223.49,225.13,220.99,,1.55%
2023-07-11,220.71,223.3,223.42,220.16,,-0.81%
2023-07-10,222.52,224.33,225.54,221.37,,-0.07%
2023-07-07,222.68,222.52,225.54,221.36,,-0.65%
2023-07-06,224.13,227.71,227.91,223.96,,-1.58%
2023-07-05,227.72,229.75,230.83,226.45,,-0.68%
2023-07-04,229.27,224.19,229.55,223.87,,3.01%
2023-07-03,222.58,220.73,222.66,220.19,,0.98%
2023-06-30,220.41,220.11,221.05,219.26,,0.03%
2023-06-29,220.35,218.67,222.3,218.34,,1.20%
2023-06-28,217.74,214.8,217.85,214.41,,1.90%
2023-06-27,213.69,214.23,214.29,211.84,,0.77%
2023-06-26,212.05,213.29,213.37,210.59,,-0.84%
2023-06-23,213.84,217.47,217.47,211.9,,-1.23%
2023-06-22,216.5,213.68,217.26,213.68,,2.43%
2023-06-21,211.36,209.01,211.41,209.01,,0.96%
2023-06-20,209.35,211.03,211.03,208.72,,-1.07%
2023-06-19,211.61,211.64,212.7,210.36,,0.97%
2023-06-16,209.57,211.52,212.36,207.27,,-0.24%
2023-06-15,210.08,209.53,213.07,208.42,,-0.24%
2023-06-14,210.59,208.82,210.74,208.54,,2.01%
2023-06-13,206.44,206.29,207.37,205.95,,0.08%
2023-06-12,206.28,207.42,208.01,205.89,,-0.44%
2023-06-09,207.19,205.88,207.78,205.73,,0.81%
2023-06-08,205.52,206.67,208.43,204.79,,0.29%
2023-06-07,204.92,208.62,209.54,204.92,,-0.99%
2023-06-06,206.97,206.09,207.01,204.55,,-0.78%
2023-06-05,208.6,209.3,210.04,207.47,,0.96%
2023-06-02,206.61,205.75,206.61,204.73,,0.70%
2023-06-01,205.18,200.28,205.65,200.28,,1.71%
2023-05-31,201.74,201.79,203.41,201.66,,-0.05%
2023-05-30,201.84,202.96,202.96,201.22,,-0.22%
2023-05-29,202.28,201.14,202.6,200.69,,1.80%
2023-05-26,198.7,200.04,200.55,198.62,,-0.80%
2023-05-25,200.3,201.42,202.14,200.3,,-1.38%
2023-05-24,203.11,202.66,204.19,202.6,,0.60%
2023-05-23,201.89,203.3,204.24,200.81,,-0.18%
2023-05-22,202.26,203.21,204.77,202.04,,-0.48%
2023-05-19,203.23,205.46,206.13,202.87,,-1.56%
2023-05-18,206.45,207.09,207.7,205.68,,0.90%
2023-05-17,204.6,201.97,204.93,201.43,,1.19%
2023-05-16,202.2,201.79,202.63,200.43,,0.94%
2023-05-15,200.32,199.29,200.32,198.51,,1.36%
2023-05-12,197.64,197.54,197.86,196.12,,-0.30%
2023-05-11,198.23,195.86,198.24,195.73,,0.50%
2023-05-10,197.24,197.84,198.46,196.73,,0.17%
2023-05-09,196.9,194.37,196.9,192.91,,1.71%
2023-05-08,193.59,194.0,195.74,193.46,,-1.27%
2023-05-02,196.08,196.83,197.05,194.61,,-0.66%
2023-05-01,197.38,195.73,197.43,195.21,,1.51%
2023-04-28,194.44,196.89,200.14,190.29,,-0.28%
2023-04-27,194.98,192.69,194.99,192.46,,1.49%
2023-04-26,192.12,193.02,193.3,191.36,,-2.05%
2023-04-25,196.15,195.57,197.33,195.57,,0.82%
2023-04-24,194.56,196.95,197.15,194.56,,-1.05%
2023-04-21,196.63,197.39,198.67,196.43,,-1.79%
2023-04-20,200.21,199.94,201.44,198.07,,0.37%
2023-04-19,199.48,197.36,199.48,196.91,,1.16%
2023-04-18,197.2,196.81,198.17,196.24,,1.35%
2023-04-17,194.58,193.48,194.66,192.34,,2.05%
2023-04-14,190.67,191.04,191.67,190.11,,0.02%
2023-04-13,190.63,190.61,190.85,189.24,,-0.43%
2023-04-12,191.45,191.42,192.02,190.43,,0.49%
2023-04-11,190.52,190.9,191.76,188.83,,0.01%
2023-04-10,190.51,190.98,191.79,190.21,,0.62%
2023-04-07,189.34,188.32,190.34,188.32,,1.22%
2023-04-06,187.05,187.64,188.26,186.64,,-1.14%
2023-04-05,189.2,190.28,190.66,188.47,,-1.91%
2023-04-04,192.89,192.17,192.89,190.75,,0.68%
2023-04-03,191.59,188.7,191.9,188.26,,1.91%
2023-03-31,188.0,187.72,189.57,186.56,,1.19%
2023-03-30,185.78,186.62,187.06,184.63,,-1.45%
2023-03-29,188.52,186.64,188.52,186.43,,0.85%
2023-03-28,186.93,186.18,188.98,185.43,,1.96%
2023-03-27,183.34,184.61,184.61,182.01,,-0.54%
2023-03-24,184.33,183.58,184.97,183.1,,-0.77%
2023-03-23,185.76,184.65,186.46,183.5,,-1.04%
2023-03-22,187.71,187.0,190.71,187.0,,2.23%
2023-03-20,183.62,185.92,189.3,183.21,,-1.88%
2023-03-17,187.13,188.52,189.16,184.93,,0.67%
2023-03-16,185.89,188.59,188.59,179.72,,-3.26%
2023-03-15,192.15,189.41,194.43,189.41,,3.34%
2023-03-14,185.94,196.95,196.95,185.51,,-7.41%
2023-03-13,200.81,205.66,205.66,198.73,,-4.01%
2023-03-10,209.19,219.37,219.37,209.19,,-5.38%
2023-03-09,221.08,217.91,221.47,217.54,,1.66%
2023-03-08,217.46,218.12,218.33,216.14,,0.04%
2023-03-07,217.38,215.25,217.38,214.79,,1.40%
2023-03-06,214.38,214.22,215.37,213.57,,0.90%
2023-03-03,212.47,211.69,213.04,210.81,,0.97%
2023-03-02,210.43,212.55,213.86,209.82,,-0.72%
2023-03-01,211.95,211.71,212.36,210.34,,-0.29%
2023-02-28,212.56,213.21,214.33,211.9,,0.24%
2023-02-27,212.05,212.04,213.09,211.7,,0.83%
2023-02-24,210.31,212.31,214.21,208.8,,-1.17%
2023-02-22,212.79,214.13,214.24,211.36,,-0.48%
2023-02-21,213.82,215.11,215.44,213.28,,-0.65%
2023-02-20,215.22,213.18,215.32,212.73,,1.33%
2023-02-17,212.39,212.25,213.61,211.86,,0.16%
2023-02-16,212.06,213.43,213.99,211.52,,-0.48%
2023-02-15,213.09,212.75,214.01,211.64,,0.96%
2023-02-14,211.06,210.63,212.16,210.25,,0.74%
2023-02-13,209.5,209.09,212.84,208.37,,0.63%
2023-02-10,208.18,207.33,210.11,207.33,,1.22%
2023-02-09,205.68,205.98,207.56,205.29,,-0.17%
2023-02-08,206.03,204.39,206.65,203.99,,0.88%
2023-02-07,204.23,200.3,205.58,199.56,,2.51%
2023-02-06,199.23,200.76,202.4,196.12,,-1.39%
2023-02-03,202.03,200.17,204.06,199.57,,0.07%
2023-02-02,201.88,203.42,204.1,201.05,,-1.40%
2023-02-01,204.75,206.14,208.29,204.5,,-0.19%
2023-01-31,205.13,210.58,210.58,205.07,,-2.28%
2023-01-30,209.92,208.11,210.35,207.28,,0.17%
2023-01-27,209.56,205.97,209.91,204.78,,2.51%
2023-01-26,204.42,206.23,206.3,203.19,,-0.42%
2023-01-25,205.29,205.28,206.3,204.17,,-0.06%
2023-01-24,205.41,201.57,205.53,201.57,,2.05%
2023-01-23,201.28,200.91,203.89,199.83,,0.22%
2023-01-20,200.83,198.46,201.37,197.27,,1.07%
2023-01-19,198.71,202.49,204.52,198.47,,-1.64%
2023-01-18,202.03,202.99,202.99,194.63,,-0.19%
2023-01-17,202.41,203.92,206.03,200.76,,-0.65%
2023-01-16,203.73,212.43,212.81,203.73,,-2.94%
2023-01-13,209.91,204.33,212.84,203.72,,2.98%
2023-01-12,203.83,195.47,204.4,195.47,,4.26%
2023-01-11,195.5,194.51,195.5,193.54,,1.14%
2023-01-10,193.3,192.0,194.67,191.4,,-0.74%
2023-01-06,194.74,196.49,197.26,193.71,,-0.17%
2023-01-05,195.07,197.6,198.31,194.42,,-1.88%
2023-01-04,198.8,195.26,199.22,193.78,,2.67%
2022-12-30,193.63,191.27,194.76,190.6,,0.59%
2022-12-29,192.49,194.76,195.0,191.16,,-1.78%
2022-12-28,195.98,197.0,198.19,194.92,,0.20%
2022-12-27,195.58,192.43,195.76,192.43,,1.90%
2022-12-26,191.93,193.14,193.34,191.22,,-1.35%
2022-12-23,194.55,191.27,194.55,190.74,,2.19%
2022-12-22,190.38,188.49,190.38,186.16,,1.62%
2022-12-21,187.34,185.78,194.62,185.72,,2.60%
2022-12-20,182.59,174.73,187.09,174.28,,5.12%
2022-12-19,173.69,173.28,175.03,173.28,,1.19%
2022-12-16,171.65,173.27,174.41,171.48,,-0.33%
2022-12-15,172.21,171.06,172.21,171.06,,0.74%
2022-12-14,170.95,170.23,171.03,170.19,,-0.16%
2022-12-13,171.23,171.4,171.99,170.74,,0.27%
2022-12-12,170.77,170.19,171.34,170.19,,0.21%
2022-12-09,170.42,170.22,171.33,170.22,,0.32%
2022-12-08,169.87,169.87,170.03,167.38,,-0.75%
2022-12-07,171.16,168.94,171.61,168.62,,1.35%
2022-12-06,168.88,168.06,169.31,167.92,,0.91%
2022-12-05,167.35,167.54,167.89,166.27,,-0.68%
2022-12-02,168.5,169.09,169.91,167.49,,-1.23%
2022-12-01,170.6,173.44,173.68,170.58,,-1.59%
2022-11-30,173.36,174.47,174.59,172.64,,-0.64%
2022-11-29,174.47,173.57,174.66,171.98,,0.74%
2022-11-28,173.19,176.95,177.04,172.12,,-1.24%
2022-11-25,175.36,172.2,175.36,172.2,,0.93%
2022-11-24,173.74,171.1,174.39,171.0,,2.54%
2022-11-22,169.43,166.94,169.6,166.81,,1.93%
2022-11-21,166.23,165.89,166.44,165.51,,0.71%
2022-11-18,165.06,166.02,167.11,165.05,,-0.01%
2022-11-17,165.08,163.63,165.08,163.58,,0.95%
2022-11-16,163.52,163.18,163.83,162.25,,-0.21%
2022-11-15,163.86,161.64,164.02,161.64,,2.31%
2022-11-14,160.16,162.02,162.02,160.06,,-1.48%
2022-11-11,162.56,163.93,164.0,161.96,,-0.36%
2022-11-10,163.14,161.95,163.25,161.75,,0.51%
2022-11-09,162.31,162.48,162.82,161.82,,0.14%
2022-11-08,162.09,161.1,162.67,160.88,,0.81%
2022-11-07,160.78,162.27,162.27,160.78,,-0.06%
2022-11-04,160.87,161.25,162.33,160.34,,0.02%
2022-11-02,160.84,159.89,161.54,159.89,,0.52%
2022-11-01,160.01,161.0,161.14,159.79,,0.02%
2022-10-31,159.98,159.07,159.99,159.01,,1.45%
2022-10-28,157.69,158.92,159.48,157.69,,-0.28%
2022-10-27,158.14,162.57,162.62,158.01,,-3.06%
2022-10-26,163.13,163.17,164.47,162.97,,0.05%
2022-10-25,163.05,162.47,163.7,162.47,,0.98%
2022-10-24,161.47,162.05,162.17,160.77,,0.83%
2022-10-21,160.14,159.38,160.53,158.94,,0.04%
2022-10-20,160.07,158.98,160.54,158.97,,0.50%
2022-10-19,159.28,158.85,159.38,158.36,,0.29%
2022-10-18,158.82,159.21,159.66,158.34,,0.75%
2022-10-17,157.63,158.74,160.02,157.47,,-0.23%
2022-10-14,158.0,157.24,158.8,157.09,,1.97%
2022-10-13,154.94,155.18,155.41,154.51,,-0.15%
2022-10-12,155.17,155.43,156.23,155.07,,-0.46%
2022-10-11,155.89,155.39,156.44,155.13,,0.04%
2022-10-07,155.83,155.96,156.66,155.18,,-1.09%
2022-10-06,157.54,156.98,158.16,156.98,,0.48%
2022-10-05,156.79,157.57,158.58,156.46,,-0.27%
2022-10-04,157.21,154.63,157.4,154.63,,3.03%
2022-10-03,152.59,152.17,152.61,150.22,,-0.54%
2022-09-30,153.42,155.96,156.09,152.65,,-1.76%
2022-09-29,156.17,155.09,156.57,154.43,,-0.83%
2022-09-28,157.47,157.36,157.48,155.41,,-0.83%
2022-09-27,158.79,158.33,160.3,158.33,,0.56%
2022-09-26,157.91,161.74,161.74,157.77,,-3.43%
2022-09-22,163.52,164.29,164.29,163.11,,-0.75%
2022-09-21,164.75,165.3,166.43,164.75,,-0.34%
2022-09-20,165.32,165.55,166.0,164.97,,0.45%
2022-09-16,164.58,162.62,164.76,162.62,,1.54%
2022-09-15,162.09,162.03,162.47,161.34,,-0.03%
2022-09-14,162.14,160.91,162.53,160.91,,-0.30%
2022-09-13,162.62,162.27,162.69,162.11,,0.18%
2022-09-12,162.33,162.6,162.96,161.76,,-0.19%
2022-09-09,162.64,161.51,162.86,161.43,,0.57%
2022-09-08,161.72,159.59,161.72,159.59,,2.21%
2022-09-07,158.23,159.84,160.91,157.86,,-0.71%
2022-09-06,159.36,159.03,159.97,159.03,,0.06%
2022-09-05,159.26,160.2,160.57,159.26,,-0.36%
2022-09-02,159.84,159.53,159.84,158.69,,0.32%
2022-09-01,159.33,160.03,160.53,158.82,,-0.45%
2022-08-31,160.05,160.25,160.96,160.04,,-0.63%
2022-08-30,161.07,160.92,161.43,160.81,,0.46%
2022-08-29,160.34,159.17,160.75,159.12,,-0.61%
2022-08-26,161.33,161.12,161.86,161.11,,0.03%
2022-08-25,161.28,160.5,161.64,160.47,,0.54%
2022-08-24,160.42,159.69,160.84,159.69,,0.78%
2022-08-23,159.18,160.19,160.19,159.12,,-1.04%
2022-08-22,160.85,160.44,160.89,160.01,,0.32%
2022-08-19,160.34,160.44,160.64,159.45,,0.14%
2022-08-18,160.11,161.0,161.19,160.08,,-0.84%
2022-08-17,161.46,160.58,162.0,160.58,,1.17%
2022-08-16,159.59,160.03,160.17,159.49,,-0.21%
2022-08-15,159.93,159.61,160.18,159.37,,-0.24%
2022-08-12,160.32,158.68,160.75,158.68,,1.68%
2022-08-10,157.67,158.07,158.22,157.35,,0.52%
2022-08-09,156.85,157.26,157.96,156.65,,-1.28%
2022-08-08,158.88,157.67,158.94,157.58,,1.61%
2022-08-05,156.37,155.53,156.38,155.45,,-0.20%
2022-08-04,156.69,156.69,157.0,156.1,,-0.75%
2022-08-03,157.87,158.48,158.48,157.16,,-0.87%
2022-08-02,159.25,161.07,161.23,158.85,,-2.00%
2022-08-01,162.5,161.88,162.6,161.16,,0.79%
2022-07-29,161.22,160.39,161.7,159.98,,-0.04%
2022-07-28,161.29,161.51,161.6,160.55,,-0.15%
2022-07-27,161.53,160.98,161.74,160.65,,0.32%
2022-07-26,161.01,161.41,162.02,160.9,,0.49%
2022-07-25,160.22,159.13,160.61,159.13,,0.33%
2022-07-22,159.7,158.51,159.78,158.45,,0.10%
2022-07-21,159.54,158.57,160.02,158.43,,-0.03%
2022-07-20,159.59,159.63,159.73,158.4,,1.45%
2022-07-19,157.31,156.5,157.35,156.23,,1.88%
2022-07-15,154.41,156.16,156.16,153.81,,-2.09%
2022-07-14,157.7,158.05,158.3,157.6,,-1.25%
2022-07-13,159.7,159.48,159.89,158.95,,0.48%
2022-07-12,158.93,160.71,160.83,158.57,,-1.41%
2022-07-11,161.21,159.65,161.31,159.16,,1.92%
2022-07-08,158.17,156.84,159.11,156.5,,1.25%
2022-07-07,156.22,156.84,156.89,154.71,,0.72%
2022-07-06,155.1,159.22,159.22,154.82,,-3.67%
2022-07-05,161.01,159.88,161.07,159.78,,1.01%
2022-07-04,159.4,158.72,159.4,158.25,,0.99%
2022-07-01,157.84,159.14,159.7,157.33,,-0.48%
2022-06-30,158.6,158.94,159.0,157.88,,-1.03%
2022-06-29,160.25,159.79,161.26,159.61,,-0.02%
2022-06-28,160.29,159.1,160.29,159.03,,1.03%
2022-06-27,158.65,160.56,161.24,158.25,,-0.33%
2022-06-24,159.17,159.04,159.93,158.57,,-1.09%
2022-06-23,160.93,160.35,161.71,160.24,,0.46%
2022-06-22,160.2,160.88,160.9,159.96,,-0.10%
2022-06-21,160.36,157.7,160.83,157.64,,2.25%
2022-06-20,156.83,157.19,158.66,155.92,,-0.06%
2022-06-17,156.92,158.53,158.79,156.1,,-1.63%
2022-06-16,159.52,158.02,160.36,158.02,,0.96%
2022-06-15,158.01,157.65,159.0,157.39,,0.50%
2022-06-14,157.23,156.81,158.03,156.67,,0.13%
2022-06-13,157.03,155.46,157.24,155.46,,-0.29%
2022-06-10,157.48,157.81,158.69,157.43,,-0.64%
2022-06-09,158.49,157.52,159.74,157.52,,0.58%
2022-06-08,157.57,158.01,158.06,157.02,,-0.85%
2022-06-07,158.92,158.3,159.99,158.3,,1.26%
2022-06-06,156.94,156.99,157.17,156.51,,-0.17%
2022-06-03,157.21,157.42,157.97,156.72,,-0.01%
2022-06-02,157.22,157.34,157.76,156.62,,-0.30%
2022-06-01,157.69,155.85,157.91,155.83,,2.26%
2022-05-31,154.2,155.54,155.99,154.03,,-1.11%
2022-05-30,155.93,155.16,156.65,154.8,,0.44%
2022-05-27,155.25,155.89,156.08,154.66,,0.05%
2022-05-26,155.18,154.78,155.88,154.78,,0.75%
2022-05-25,154.02,154.15,155.16,153.94,,-0.14%
2022-05-24,154.24,155.71,156.2,154.24,,-0.11%
2022-05-23,154.41,153.5,154.98,153.37,,0.91%
2022-05-20,153.02,152.18,153.12,151.64,,0.41%
2022-05-19,152.39,151.18,152.83,150.76,,-0.92%
2022-05-18,153.81,152.95,153.96,152.55,,1.37%
2022-05-17,151.73,154.66,154.9,151.73,,-1.59%
2022-05-16,154.18,156.45,156.56,153.85,,-0.66%
2022-05-13,155.2,154.49,155.21,153.39,,0.44%
2022-05-12,154.52,156.37,156.7,154.52,,-0.46%
2022-05-11,155.23,158.01,158.03,155.23,,-2.90%
2022-05-10,159.87,160.7,160.87,158.75,,-0.87%
2022-05-09,161.27,162.84,163.19,161.12,,-1.21%
2022-05-06,163.24,161.0,163.52,161.0,,2.52%
2022-05-02,159.23,158.51,159.64,157.88,,-0.38%
2022-04-28,159.84,155.79,159.85,155.68,,2.74%
2022-04-27,155.58,156.1,156.64,155.58,,-1.53%
2022-04-26,157.99,158.9,159.47,157.59,,-0.71%
2022-04-25,159.12,158.51,159.48,158.49,,-1.41%
2022-04-22,161.4,162.44,162.44,160.53,,-0.95%
2022-04-21,162.94,163.28,164.58,162.33,,0.09%
2022-04-20,162.8,160.73,162.8,160.44,,1.99%
2022-04-19,159.63,160.31,160.54,158.86,,0.48%
2022-04-18,158.86,157.75,159.05,157.1,,0.07%
2022-04-15,158.75,157.82,159.18,157.58,,0.51%
2022-04-14,157.95,157.08,158.22,157.08,,0.22%
2022-04-13,157.6,157.59,157.68,155.91,,-0.56%
2022-04-12,158.48,159.06,160.12,157.56,,-0.06%
2022-04-11,158.57,156.15,158.57,156.15,,1.99%
2022-04-08,155.48,155.75,155.79,154.48,,-0.14%
2022-04-07,155.7,156.12,156.17,154.54,,-0.92%
2022-04-06,157.15,158.09,158.77,156.94,,-0.12%
2022-04-05,157.34,160.07,160.22,157.11,,-1.73%
2022-04-04,160.11,159.0,160.25,158.66,,0.15%
2022-04-01,159.87,157.28,160.44,157.21,,0.77%
2022-03-31,158.65,159.81,161.51,158.65,,-2.35%
2022-03-30,162.46,163.34,164.35,161.13,,-2.79%
2022-03-29,167.12,165.84,167.12,165.75,,0.13%
2022-03-28,166.91,168.42,168.42,165.37,,-0.05%
2022-03-25,167.0,168.02,168.24,166.7,,-0.56%
2022-03-24,167.94,166.5,167.99,166.11,,-0.70%
2022-03-23,169.13,170.0,171.18,168.54,,1.01%
2022-03-22,167.44,163.77,167.88,163.74,,3.33%
2022-03-18,162.05,161.25,162.05,160.89,,0.10%
2022-03-17,161.89,161.33,162.46,160.38,,2.11%
2022-03-16,158.55,157.53,158.99,157.53,,0.18%
2022-03-15,158.26,157.81,158.95,156.66,,1.38%
2022-03-14,156.1,155.67,157.48,154.66,,1.90%
2022-03-11,153.19,151.24,153.58,151.24,,0.59%
2022-03-10,152.29,149.17,152.5,149.17,,3.75%
2022-03-09,146.79,145.53,148.56,145.32,,1.50%
2022-03-08,144.62,148.04,148.04,144.17,,-3.75%
2022-03-07,150.26,151.52,151.61,149.02,,-2.09%
2022-03-04,153.46,155.41,156.22,153.42,,-1.90%
2022-03-03,156.43,153.77,156.93,153.76,,3.37%
2022-03-02,151.33,152.9,153.21,151.25,,-2.82%
2022-03-01,155.72,157.94,158.4,155.67,,-1.19%
2022-02-28,157.6,155.89,157.63,155.8,,0.52%
2022-02-25,156.79,158.31,158.5,156.38,,-2.29%
2022-02-24,160.47,162.11,162.51,159.04,,-0.47%
2022-02-22,161.22,161.09,161.48,159.81,,-1.13%
2022-02-21,163.06,161.33,163.5,161.08,,0.48%
2022-02-18,162.28,162.99,163.45,161.72,,-1.55%
2022-02-17,164.83,166.28,166.28,164.46,,-0.88%
2022-02-16,166.29,166.08,166.72,164.97,,1.69%
2022-02-15,163.52,166.41,167.17,163.21,,-2.09%
2022-02-14,167.01,165.63,167.18,164.91,,0.16%
2022-02-10,166.74,166.52,167.61,164.75,,-0.25%
2022-02-09,167.15,168.84,170.21,166.15,,-0.35%
2022-02-08,167.73,166.0,168.2,165.79,,1.50%
2022-02-07,165.25,161.74,165.56,161.3,,2.42%
2022-02-04,161.35,161.33,161.67,160.41,,1.03%
2022-02-03,159.71,159.15,160.24,158.52,,-0.33%
2022-02-02,160.24,158.05,160.24,157.99,,2.32%
2022-02-01,156.61,154.83,157.16,154.83,,0.63%
2022-01-31,155.63,155.19,155.92,154.51,,-1.26%
2022-01-28,157.62,156.33,157.73,155.49,,2.05%
2022-01-27,154.45,156.99,157.55,153.28,,-0.20%
2022-01-26,154.76,155.56,156.37,154.65,,0.49%
2022-01-25,154.0,154.41,154.47,152.86,,-1.36%
2022-01-24,156.13,153.55,156.75,153.55,,1.75%
2022-01-21,153.44,153.66,153.79,150.7,,-0.80%
2022-01-20,154.68,155.01,156.85,154.22,,-0.80%
2022-01-19,155.92,156.65,158.38,155.22,,-1.94%
2022-01-18,159.01,162.04,163.59,157.22,,-1.38%
2022-01-17,161.24,161.17,162.99,160.91,,0.42%
2022-01-14,160.56,160.47,160.82,159.18,,-0.60%
2022-01-13,161.53,159.59,161.68,159.38,,1.02%
2022-01-12,159.9,159.33,160.42,158.33,,0.26%
2022-01-11,159.49,157.65,159.49,155.33,,2.57%
2022-01-07,155.5,153.26,156.29,153.24,,2.38%
2022-01-06,151.89,152.82,153.21,151.05,,-0.03%
2022-01-05,151.93,150.93,152.32,150.91,,1.83%
2022-01-04,149.2,147.2,149.32,146.52,,2.59%
2021-12-30,145.43,145.58,146.1,145.19,,-0.33%
2021-12-29,145.91,145.77,146.39,145.55,,0.40%
2021-12-28,145.33,144.68,145.33,144.31,,0.99%
2021-12-27,143.91,144.24,144.59,143.71,,-0.19%
2021-12-24,144.18,144.74,145.03,144.06,,-0.43%
2021-12-23,144.8,144.14,144.8,143.96,,0.75%
2021-12-22,143.72,144.1,144.33,143.38,,0.02%
2021-12-21,143.69,143.78,144.43,143.4,,1.05%
2021-12-20,142.19,144.62,144.74,142.11,,-2.96%
2021-12-17,146.52,147.39,147.85,146.28,,-0.39%
2021-12-16,147.09,146.37,147.15,146.1,,0.95%
2021-12-15,145.7,144.94,145.9,144.78,,0.84%
2021-12-14,144.48,143.85,144.53,143.61,,0.45%
2021-12-13,143.83,144.63,144.68,143.64,,0.17%
2021-12-10,143.58,145.12,145.12,143.56,,-0.52%
2021-12-09,144.33,144.42,144.75,144.15,,-0.50%
2021-12-08,145.05,146.05,146.44,144.94,,-0.04%
2021-12-07,145.11,143.04,145.11,142.52,,1.97%
2021-12-06,142.3,142.27,142.68,141.35,,0.00%
2021-12-03,142.3,139.79,142.36,139.79,,1.87%
2021-12-02,139.69,137.97,140.01,137.97,,0.38%
2021-12-01,139.16,137.8,139.43,137.4,,1.20%
2021-11-30,137.51,140.27,141.19,137.51,,-1.38%
2021-11-29,139.44,140.32,140.63,138.82,,-2.11%
2021-11-26,142.44,143.68,143.68,141.95,,-1.55%
2021-11-25,144.68,143.93,145.1,143.44,,0.54%
2021-11-24,143.9,144.67,145.32,143.48,,0.81%
2021-11-22,142.74,142.35,143.1,141.75,,-0.69%
2021-11-19,143.73,143.56,143.83,142.66,,-0.20%
2021-11-18,144.02,144.45,144.48,142.83,,-0.69%
2021-11-17,145.02,146.29,146.55,144.89,,-0.92%
2021-11-16,146.36,148.08,148.25,146.21,,-0.33%
2021-11-15,146.84,148.11,148.78,146.77,,0.11%
